"State, Index, Value"
Utah,14,78587
Vermont,14,20603
Virginia,14,280401
Washington,14,232587
West Virginia,14,60717
Wisconsin,14,191738
Wyoming,14,17149
Puerto Rico,14,114941
NAME,15,P0120015
Alabama,15,169103
Alaska,15,28398
Arizona,15,212499
Arkansas,15,101382
California,15,1341984
Colorado,15,185148
Connecticut,15,141757
Delaware,15,32764
District of Columbia,15,19534
Florida,15,691335
Georgia,15,353137
Hawaii,15,48213
Idaho,15,51546
Illinois,15,463423
Indiana,15,234880
Iowa,15,107876
Kansas,15,100199
Kentucky,15,159866
Louisiana,15,159073
Maine,15,52861
Maryland,15,221969
Massachusetts,15,251937
Michigan,15,367747
Minnesota,15,203588
Mississippi,15,101271
Missouri,15,220099
Montana,15,35234
Nebraska,15,64171
Nevada,15,99524
New Hampshire,15,56067
New Jersey,15,344613
New Mexico,15,71419
New York,15,709523
North Carolina,15,341432
North Dakota,15,23461
Ohio,15,420425
Oklahoma,15,129816
Oregon,15,130601
Pennsylvania,15,470543
Rhode Island,15,39435
South Carolina,15,161848
South Dakota,15,28953
Tennessee,15,228086
Texas,15,874863
Utah,15,77451
Vermont,15,24514
Virginia,15,304989
Washington,15,246507
West Virginia,15,65769
Wisconsin,15,218539
Wyoming,15,19713
Puerto Rico,15,115470
NAME,16,P0120016
Alabama,16,168725
Alaska,16,29288
Arizona,16,202411
Arkansas,16,99146
California,16,1266543
Colorado,16,184243
Connecticut,16,138961
Delaware,16,31713
District of Columbia,16,18114
Florida,16,650033
Georgia,16,324343
Hawaii,16,48831
Idaho,16,52006
Illinois,16,455953
Indiana,16,233891
Iowa,16,111584
Kansas,16,101040
Kentucky,16,156619
Louisiana,16,161186
Maine,16,54129
Maryland,16,211218
Massachusetts,16,241668
Michigan,16,376056
Minnesota,16,200663
Mississippi,16,100994
Missouri,16,218081
Montana,16,38747
Nebraska,16,65210
Nevada,16,92136
New Hampshire,16,55864
New Jersey,16,328135
New Mexico,16,71383
New York,16,687779
North Carolina,16,323702
North Dakota,16,25306
Ohio,16,434740
Oklahoma,16,129931
Oregon,16,134896
Pennsylvania,16,484289
Rhode Island,16,39138
South Carolina,16,156907
South Dakota,16,29861
Tennessee,16,222283
Texas,16,827933
Utah,16,75545
Vermont,16,25773
Virginia,16,288783
Washington,16,245997
West Virginia,16,70744
Wisconsin,16,218303
Wyoming,16,22450
Puerto Rico,16,110600
NAME,17,P0120017
Alabama,17,149633
Alaska,17,26394
Arizona,17,178665
Arkansas,17,88935
California,17,1069976
Colorado,17,161766
Connecticut,17,116699
Delaware,17,27147
District of Columbia,17,15994
Florida,17,569009
Georgia,17,271779
Hawaii,17,46148
Idaho,17,48095
Illinois,17,392322
Indiana,17,205257
Iowa,17,102309
Kansas,17,90190
Kentucky,17,139800
Louisiana,17,141798
Maine,17,49861
Maryland,17,179108
Massachusetts,17,208594
Michigan,17,333377
Minnesota,17,174321
Mississippi,17,89321
Missouri,17,188437
Montana,17,37835
Nebraska,17,58068
Nevada,17,80947
New Hampshire,17,47759
New Jersey,17,272186
New Mexico,17,65567
New York,17,591847
North Carolina,17,285244
North Dakota,17,23634
Ohio,17,383440
Oklahoma,17,114982
Oregon,17,132857
Pennsylvania,17,430202
Rhode Island,17,33908
South Carolina,17,142682
South Dakota,17,27445
Tennessee,17,198721
Texas,17,691275
Utah,17,65841
Vermont,17,23905
Virginia,17,246591
Washington,17,221321
West Virginia,17,68576
Wisconsin,17,192952
Wyoming,17,20928
Puerto Rico,17,102262
NAME,18,P0120018
Alabama,18,55413
Alaska,18,8884
Arizona,18,68397
Arkansas,18,33359
California,18,378044
Colorado,18,56765
Connecticut,18,40316
Delaware,18,10215
District of Columbia,18,5819
Florida,18,215283
Georgia,18,99268
Hawaii,18,17616
Idaho,18,17436
Illinois,18,136853
Indiana,18,72705
Iowa,18,35985
Kansas,18,31703
Kentucky,18,51721
Louisiana,18,49966
Maine,18,18598
Maryland,18,63542
Massachusetts,18,74794
Michigan,18,117928
Minnesota,18,59951
Mississippi,18,32621
Missouri,18,67552
Montana,18,13784
Nebraska,18,20600
Nevada,18,30575
New Hampshire,18,16969
New Jersey,18,95399
New Mexico,18,25031
New York,18,214047
North Carolina,18,105821
North Dakota,18,8082
Ohio,18,137346
Oklahoma,18,41612
Oregon,18,49235
Pennsylvania,18,151093
Rhode Island,18,12321
South Carolina,18,54657
South Dakota,18,9629
Tennessee,18,74374
Texas,18,241090
Utah,18,22621
Vermont,18,8847
Virginia,18,89586
Washington,18,79594
West Virginia,18,26607
Wisconsin,18,67592
Wyoming,18,7338
Puerto Rico,18,40118
NAME,19,P0120019
Alabama,19,76190
Alaska,19,10347
Arizona,19,98557
Arkansas,19,46997
California,19,501127
Colorado,19,75624
Connecticut,19,56623
Delaware,19,14701
District of Columbia,19,7579
Florida,19,318585
Georgia,19,135282
Hawaii,19,23263
Idaho,19,24106
Illinois,19,182050
Indiana,19,96274
Iowa,19,47265
Kansas,19,41795
Kentucky,19,69504
Louisiana,19,66801
Maine,19,25763
Maryland,19,86399
Massachusetts,19,101501
Michigan,19,157332
Minnesota,19,77809
Mississippi,19,44490
Missouri,19,91968
Montana,19,18340
